#At time x process y state arr w total z remain y wait k
At time 30 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 30 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 30 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 30 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 30 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 30 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 30 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 31 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 31 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 31 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 31 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 31 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 31 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 31 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 31 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 31 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 31 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 31 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 31 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 31 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 31 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 31 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 31 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 32 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 32 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 33 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 33 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 33 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 33 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 33 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 33 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 33 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 33 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 33 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 33 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 33 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 33 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 33 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 33 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 33 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 33 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 34 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 34 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 34 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 34 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 34 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 34 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 34 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 34 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 34 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 34 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 34 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 34 process 3 resumed arr 18 total 28 remain 28 wait 162
